o_provincia	o_localidad	o_calle	o_numero	o_CP	n_provincia	n_partido	n_localidad	n_barrio	n_calle	n_numero	n_CP	n_resolucion	n_motivo	n_entre Calle 1	n_entre Calle 2	 CV_ZonaPeligrosa
BUENOS AIRES	EL PALOMAR	EVENIDA WERNICKE	311	1684	BUENOS AIRES	MORON	EL PALOMAR		EVENIDA WERNICKE	311	1684	NE	AI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CAMPOS SALLES	2289	1429	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	NUÑEZ	CAMPOS SALLES	2289	1429	CO	SM	CUBA	VUELTA DE OBLIGADO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ZABALA	2443	1426	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	COLEGIALES	BRUNO M DE ZABALA	2443	1426	CO	SM	AVENIDA CABILDO	CIUDAD DE LA PAZ	N
BUENOS AIRES	LANUS	TACUARI	2249	1824	BUENOS AIRES	LANUS	LANUS OESTE	VILLA DE LOS INDUSTRIALES	TACUARI	2249	1824	CO	SM	CORONEL JOSE MURATURE	HUMAHUACA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CHARLONE	766	1427	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CHACARITA	CNEL CHARLONE	766	1427	CO	SM	TEODORO GARCIA	PALPA	N
MISIONES	GARUPA	RUTA 12 KM. 10	200		MISIONES		GARUPA		RUTA 12			NE	CI			
NEUQUEN	NEUQUEN	LEANDRO ALEM	349	8300	NEUQUEN	CONFLUENCIA	NEUQUEN	VILLA FARREL	L N ALEM	349	8300	CO	SM	COLOMBIA	MAESTRO THAMES ALDERETE	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	MARTI JOSE	1531	1406	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	FLORES	J MARTI	1531	1406	CO	SM	DOCTOR FACUNDO DE ZUVIRIA	CRISOSTOMO ALVAREZ	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	SANTA FE AVDA.	2205	1123	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AV SANTA FE	2205	1123	CO	SM	PRESIDENTE JOSE EVARISTO URIBURU	GENERAL MIGUEL DE AZCUENAGA	N
BUENOS AIRES	LONGCHAMPS	RUTA 210 KM 31-800	S/N	1854	BUENOS AIRES	ALMIRANTE BROWN	LONGCHAMPS		RUTA 210		1854	NE	CI			
SANTA FE	ROSARIO	CORDOBA	3441	2000	SANTA FE	ROSARIO	ROSARIO	REMEDIOS DE ESCALADA DE SAN MARTIN	CORDOBA	3441	2002	CO	SM	BENJAMIN GOULD	DOCTOR JUAN MANUEL CAFFERATA	N
CORDOBA	RIO CUARTO	SARMIENTO	2781	5800	CORDOBA	RIO CUARTO	RIO CUARTO	INDUSTRIAL	SARMIENTO	2781	5800	CO	SM	MARTIN DE ALVA	MAYOR EGIDIO SOSA	N
BUENOS AIRES	LOMAS DEL MIRADOR	CHARCAS	4864	1752	BUENOS AIRES	LA MATANZA	LA TABLADA	VILLA INSUPERABLE	CHARCAS	4864	1766	CO	SM	RECONQUISTA	DOCTOR PEDRO GOYENA	N
SANTA FE	VERA	SAN MARTIN	0	3550	SANTA FE		VERA		SAN MARTIN		3550	NE	AI			
BUENOS AIRES	LA LUCILA	AV. DEL LIBERTADOR	4189	1636	BUENOS AIRES	VICENTE LOPEZ	LA LUCILA		AV DEL LIBERTADOR	4189	1636	CO	SM	VICENTE LOPEZ Y PLANES	AVENIDA PARANA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	FOREST AVDA.	355	1427	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CHACARITA	AV C FOREST	355	1427	CO	SM	JORGE NEWBERY	JOSE ANTONIO MAURE	N
CORDOBA	RIO 3ro.	HIPOLITO IRIGOYEN	1193	5850	CORDOBA	TERCERO ARRIBA	RIO TERCERO	BELGRANO	AV PTE H YRIGOYEN	1193	5850	CO	SM	FELIPE VARELA	GENERAL FRANCISCO RAMIREZ	N
BUENOS AIRES	HAEDO	PRESIDENTE PERON 3133	S/N	1706	BUENOS AIRES	MORON	EL PALOMAR		AV PTE J D PERON	3133	1684	CO	SM	PELUFFO	JUAN O FARRELL	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CERRITO	1136	1010	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	CERRITO	1136	1010	CO	SM	AVENIDA SANTA FE	ARENALES	N
SANTA FE	LAS PAREJAS	SIN DIRECCION	S/N	2505	SANTA FE		LAS PAREJAS		SIN DIRECCION		2505	NE	CI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ROSARIO	200	1424	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CABALLITO	ROSARIO	200	1424	CO	SM	FRANCISCO DOBLAS	FRANCISCO DOBLAS	N
BUENOS AIRES	CIUDADELA	HIPOLITO YRIGOYEN	1445	1702	BUENOS AIRES	TRES DE FEBRERO	CIUDADELA		PTE H YRIGOYEN	1445	1702	CO	SM	AVENIDA MILITAR		N
BUENOS AIRES	VILLA MADERO	COCHABAMBA	2101	1768	BUENOS AIRES	LA MATANZA	LA TABLADA	VILLA INSUPERABLE	COCHABAMBA	2101	1766	CO	SM	ALVAREZ	ALVAREZ	N
CHACO	VILLA ANGELA	COLON	860	3540	CHACO	MAYOR LUIS J FONTANA	VILLA ANGELA		AV COLON	860	3540	CO	SM	AVENIDA MONTEAGUDO	SANTA CRUZ	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	SANTA FE AVDA.	1480	1060	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AV SANTA FE	1480	1060	CO	SM	URUGUAY	PARANA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	PERON JUAN DOMINGO TTE. GRAL.	2823	1198	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	TTE GRAL JUAN D PERON	2823	1198	CO	SM	AVENIDA GENERAL JUAN MARTIN DE PUEYRREDON	BOULOGNE SUR MER	N
CORDOBA	CORDOBA	AV CIRCUNVALACION (ENTRE RUTAS 5 Y 36)	0	5016	CORDOBA		CORDOBA		AVENIDA CIRCUNVALACION		5016	NE	AI			
BUENOS AIRES	SAN ISIDRO	TISCORNIA	1100	1642	BUENOS AIRES	SAN ISIDRO	SAN ISIDRO		AV B TISCORNIA	1100	1642	CO	SM	CONTRALMIRANTE MARTIN GUERRICO	AVENIDA MITRE	N
BUENOS AIRES	SAN ISIDRO	RIVADAVIA	129	1642	BUENOS AIRES	SAN ISIDRO	SAN ISIDRO		RIVADAVIA	129	1642	CO	SM	LEANDRO NICEFORO ALEM	MARTIN Y OMAR	N
BUENOS AIRES	VILLA MADERO	CALLAO	441	1766	BUENOS AIRES	LA MATANZA	LA TABLADA		CALLAO	441	1766	CO	SM	GREGORIO DEAN FUNES	CORONEL SUAREZ	N
CHUBUT	TRELEW	PARAGUAY	729	9100	CHUBUT	RAWSON	TRELEW	CENTRO	PARAGUAY	729	9100	CO	SM	PECORARO	MARCONI	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	PERON EVA AVDA.	5128	1439	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA LUGANO	AV M EVA DUARTE DE PERON	5128	1439	CO	SM	PASAJE CAROYA	JOSE JOAQUIN ARAUJO	N
MENDOZA	GENERAL GUTIERREZ	R.PEÃ?A Y RESCARA	S/N	5511	MENDOZA		GENERAL GUTIERREZ		R PEAA		5511	DU	DS			
BUENOS AIRES	SAN MARTIN		CALLE SAN LORENZO		BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN	PTDO. GENERAL SAN MARTIN	CALLE SAN LORENZO			NE	AI			
CORDOBA	ALMAFUERTE	L.N.ALEM Y RUTA NRO.	36	5854	CORDOBA		ALMAFUERTE		LEANDRO NICEFORO ALEM		5854	NE	AI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	QUINTANA PRESIDENTE AVDA.	325	1014	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	AV PRES MANUEL QUINTANA	325	1014	CO	SM	NICOLAS RODRIGUEZ PEÑA	AVENIDA CALLAO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CHARCAS	3073	1425	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	CHARCAS	3073	1425	CO	SM	AGUERO	GALLO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	PUEYRREDON AVDA.	480	1032	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BALVANERA	AV GRAL JUAN M DE PUEYRREDON	480	1032	CO	SM	DOCTOR JOSE VALENTIN GOMEZ	AVENIDA CORRIENTES	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	FREIRE RAMON CPTAN. GRAL.	932	1426	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	COLEGIALES	FREIRE	932	1426	CO	SM	PALPA	FRANCISCO DE CESPEDES	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	SAN JOSE	1469	1136	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CONSTITUCION	SAN JOSE	1469	1136	CO	SM	CONSTITUCION	PAVON	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CAÃ?ADA DE GOMEZ	1534	1440	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MATADEROS	CAÑADA DE GOMEZ	1534	1440	CO	SM	CORONEL BARTOLOME PIZARRO	PASAJE LUXEMBURGO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ALEM LEANDRO N. AVDA.	661	1001	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV L N ALEM	661	1001	CO	SM	TUCUMAN	GENERAL JUAN JOSE VIAMONTE	N
BUENOS AIRES	MERLO	AVELLANEDA	486	1722	BUENOS AIRES	MERLO	MERLO		AVELLANEDA	486	1722	CO	SM	CHACABUCO	MAIPU	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CALDERON DE LA BARCA PEDRO	2261	1417	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONTE CASTRO	CALDERON DE LA BARCA	2261	1417	CO	SM	PASAJE PEIPING	GRANADERO JUAN BAUTISTA BAIGORRIA	N
CORDOBA	CORDOBA	AV. DON BOSCO	10	5000	CORDOBA		CORDOBA		AVENIDA DON BOSCO	10	5000	NE	AI			
CORDOBA	ALTA GRACIA	CARLOS PELLEGRINI	971	5186	CORDOBA	SANTA MARIA	ALTA GRACIA	CARLOS PELLEGRINI	AV PELLEGRINI	971	5186	CO	SM	BUNGE DE GALVEZ	ROMA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	LARRALDE CRISOLOGO	1890	1429	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	NUÑEZ	CRISOLOGO LARRALDE	1890	1429	CO	SM	3 DE FEBRERO	GRECIA	N
BUENOS AIRES	BANFIELD	FELIX DE AZARA	1780	1828	BUENOS AIRES	LOMAS DE ZAMORA	BANFIELD		FELIX DE AZARA	1780	1828	CO	SM	JUAN HIPOLITO VIEYTES	DOCTOR JOSE DE DARREGUEYRA	N
BUENOS AIRES	BECCAR	BRASIL	440	1643	BUENOS AIRES	SAN ISIDRO	BECCAR		BRASIL	440	1643	CO	SM	SUIPACHA	PAVON	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	BELGRANO AVDA.	1189	1092	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	AVDA MANUEL BELGRANO	1189	1092	CO	SM	LIMA	SALTA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	PINTO	4851	1429	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAAVEDRA	PINTO	4851	1429	CO	SM	PICO	NICOLAS DE VEDIA	N
BUENOS AIRES	HAEDO	CASTRO EMILIO	729	1706	BUENOS AIRES	MORON	HAEDO		GDOR E CASTRO	729	1706	CO	SM	CONCORDIA	ENRIQUE DEL VALLE IBERLUCEA	N
BUENOS AIRES	LANUS	AV. SAN MARTIN	3694	1824	BUENOS AIRES	LANUS	REMEDIOS DE ESCALADA	VILLA EDEN ARGENTINO	AV GRAL SAN MARTIN	3694	1826	CO	SM	SAN VLADIMIRO	CORONEL GREGORIO PERDRIEL	N
BUENOS AIRES	JOSE INGENIEROS		BRANDSEN	2	BUENOS AIRES	TRES DE FEBRERO	JOSE INGENIEROS	PARTIDO 3 DE FEBRERO	BRANDSEN		2	NE	AI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	VIAMONTE	540	1053	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	GRAL JUAN JOSE VIAMONTE	540	1053	CO	SM	SAN MARTIN	FLORIDA	N
SANTA FE	ROSARIO	CORDOBA	1438	2000	SANTA FE	ROSARIO	ROSARIO	CENTRO	CORDOBA	1438	2000	CO	SM	CORRIENTES	PARAGUAY	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	MAIPU	42	1084	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	MAIPU	42	1084	CO	SM	BATALLA DE CHACABUCO	GENERAL BARTOLOME MITRE	N
ENTRE RIOS	CONCORDIA	SAN LORENZO (OESTE)	748	3200	ENTRE RIOS	CONCORDIA	CONCORDIA		SAN LORENZO OESTE	748	3200	CO	SM	NOGOYA	LA PAZ	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	MORENO	1417	1093	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DR M MORENO	1417	1093	CO	SM	SAN JOSE	PRESIDENTE LUIS SAENZ PEÑA	N
SANTA FE	FRANCK	RIVADAVIA	1998	3009	SANTA FE	LAS COLONIAS	FRANCK		PRES BERNARDINO RIVADAVIA	1998	3009	CO	SM			N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	TEJEDOR	733	1424	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE CHACABUCO	DR C TEJEDOR	733	1424	CO	SM	MARCOS RIGLOS	SAN JOSE DE CALASANZ	N
BUENOS AIRES	LOMAS DEL MIRADOR	BRIGADIER GRAL JUAN MANUEL DE ROSAS	1590	1752	BUENOS AIRES	LA MATANZA	LOMAS DEL MIRADOR		AV BDIER J M DE ROSAS	1590	1752	CO	SM	BOLIVAR	CORONEL JUAN PASCUAL PRINGLES	N
BUENOS AIRES	SAN MARTIN	CALLE 84	4357	1650	BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN		CALLE 84	4357	1650	NE	CI			
BUENOS AIRES	SAN MARTIN		INT. CAMPOS		BUENOS AIRES	GENERAL SAN MARTIN	GENERAL SAN MARTIN	PTDO. GENERAL SAN MARTIN	INT CAMPOS			NE	AI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	LINIERS VIRREY	1935	1241	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	BOEDO	VIRREY LINIERS	1935	1241	CO	SM	MIGUEL DE SALCEDO	LAS CASAS	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	VEGA NICETO CORONEL	5047	1414	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	CNEL N VEGA	5047	1414	CO	SM	DOCTOR JOSE MARIANO SERRANO	JOSE IGNACIO THAMES	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ALSINA ADOLFO	478	1087	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	DR A ALSINA	478	1087	CO	SM	DEFENSA	GENERAL SIMON BOLIVAR	N
BUENOS AIRES	PEHUAJO	ZANNI	253	6450	BUENOS AIRES	PEHUAJO	PEHUAJO		CDORO P LUIS ZANNI	253	6450	CO	SM	DOCTOR JUAN GUALBERTO GODOY	JUAN BAUTISTA ALBERDI	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	PEREYRA LUCENA	2536	1425	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	PEREYRA L	2536	1425	CO	SM	AVENIDA GENERAL JUAN GREGORIO DE LAS HERAS	JOSE LEON PAGANO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	LIMA	711	1073	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	LIMA	711	1073	CO	SM	CHILE	AVENIDA INDEPENDENCIA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	PARANA	851	1017	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RECOLETA	PARANA	851	1017	CO	SM	AVENIDA CORDOBA	PARAGUAY	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	BALCARCE	248	1064	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	MONSERRAT	BALCARCE	248	1064	CO	SM	DOCTOR ADOLFO ALSINA	DOCTOR MARIANO MORENO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	GARCIA TEODORO	1963	1426	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	T GARCIA	1963	1426	CO	SM	AVENIDA GENERAL LUIS MARIA CAMPOS	NICOLAS VILLANUEVA	N
BUENOS AIRES	JOSE C. PAZ	PTE. PERON	4346	1665	BUENOS AIRES	JOSE CLEMENTE PAZ	JOSE CLEMENTE PAZ		AV PTE J D PERON	4346	1665	CO	SM	JUAN DIAZ DE SOLIS	JORGE NEWBERY	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CUBAS JOSE	3418	1419	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA DEVOTO	J CUBAS	3418	1419	CO	SM	FELIPE LLAVALLOL	AVENIDA GENERAL JOSE DE SAN MARTIN	N
CORDOBA	CORDOBA	AV CASTRO BARROS	1176	5000	CORDOBA	CAPITAL	CORDOBA	BAJO GALAN	BV CASTRO BARROS	1176	5008	CO	SM	BIALET MASSE	GALAN BAILON	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CORDOBA AVDA.	991	1054	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	RETIRO	AV CORDOBA	991	1054	CO	SM	SUIPACHA	PRESIDENTE CARLOS PELLEGRINI	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	MITRE BARTOLOME	745	1036	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	GRAL MITRE	745	1036	CO	SM	MAIPU	ESMERALDA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	PAZ GENERAL AVDA.	13	1429	CAPITAL FEDERAL		CIUDAD AUTONOMA BUENOS AIRES		AVENIDA PAZ GENERAL	13	1429	NE	AI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ALEM LEANDRO N. AVDA.	530	1001	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAN NICOLAS	AV L N ALEM	530	1001	CO	SM	GENERAL JUAN LAVALLE	TUCUMAN	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	SALTA	935	1074	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	CONSTITUCION	SALTA	935	1074	CO	SM	ESTADOS UNIDOS	CARLOS CALVO	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	VALDENEGRO	4315	1430	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	SAAVEDRA	E VALDENEGRO	4315	1430	CO	SM	RUIZ HUIDOBRO	CIRILO CORREA	N
BUENOS AIRES	SAN FERNANDO	FRENCH	64	1646	BUENOS AIRES	SAN FERNANDO	SAN FERNANDO		FRENCH	64	1646	CO	SM	GONZALEZ	LAS HERAS	N
BUENOS AIRES	LA LUCILA	DIAZ VELEZ	1051	1636	BUENOS AIRES	VICENTE LOPEZ	LA LUCILA		M DIAZ VELEZ	1051	1636	CO	SM	HERNAN WINEBERG	SALTA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	BRASIL	3237	1260	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE PATRICIOS	BRASIL	3237	1260	CO	SM	24 DE NOVIEMBRE	PRESBITERO DOCTOR MARIANO SANCHEZ DE LORIA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	ARAOZ	655	1414	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	VILLA CRESPO	ARAOZ	655	1414	CO	SM	FRANCISCO DE AGUIRRE	MARTIN IGNACIO DE LOYOLA	N
BUENOS AIRES	EL PALOMAR	FLUGUERTO	1336	1684	BUENOS AIRES	MORON	EL PALOMAR		FLUGUERTO	1336	1684	NE	AI			
BUENOS AIRES	MORON	CASULLO	363	1708	BUENOS AIRES	MORON	MORON		DR J M CASULLO	363	1708	CO	SM	NUESTRA SEÑORA DEL BUEN VIAJE	GENERAL BARTOLOME MITRE	N
BUENOS AIRES	ADOLFO GONZALES CHAVES	CASILLA CORREO	121	7513	BUENOS AIRES		ADOLFO GONZALES CHAVES		CASILLA CORREO	121	7513	NE	CI			
CORDOBA	LOS BOULEVARES	ALMOGAVARES	235	5147	CORDOBA			LOS BOULEVARES	ALMOGAVARES	235	5147	NE	AI			
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	COLOMBIA	4300	1425	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES		AV COLOMBIA	4300	1425	CO	SM			N
ENTRE RIOS	CONCORDIA	PELLEGRINI	1759	3200	ENTRE RIOS	CONCORDIA	CONCORDIA		PELLEGRINI	1759	3200	CO	SM	MONSEÑOR MIGUEL DE ANDREA	ANTONIO DE LUQUE	N
BUENOS AIRES	CORONEL BRANDSEN	CASTELLI	747	1980	BUENOS AIRES	CORONEL BRANDSEN	CORONEL BRANDSEN		CASTELLI	747	1980	CO	SM	AVENIDA GENERAL JOSE DE SAN MARTIN	AVENIDA MITRE	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	PICHINCHA	1765	1249	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PARQUE PATRICIOS	PICHINCHA	1765	1249	CO	SM	INCLAN	BRASIL	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	CABILDO AVDA.	3642	1429	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	NUÑEZ	AV CABILDO	3642	1429	CO	SM	IGNACIO NUÑEZ	CRISOLOGO LARRALDE	N
BUENOS AIRES	VILLA ADELINA	DEAN FUNES	1570	1607	BUENOS AIRES	SAN ISIDRO	VILLA ADELINA		DEAN FUNES	1570	1607	CO	SM	EL INDIO	AVENIDA PARANA	N
CAPITAL FEDERAL	CIUDAD DE BUENOS AIRES	BERUTI	3538	1425	CAPITAL FEDERAL	CAPITAL FEDERAL	CIUDAD AUTONOMA BUENOS AIRES	PALERMO	ANTONIO BERUTI	3538	1425	CO	SM	JERONIMO SALGUERO	JULIAN ALVAREZ	N
BUENOS AIRES	TANDIL	9 DE JULIO	578	7000	BUENOS AIRES	TANDIL	TANDIL		9 DE JULIO	578	7000	CO	SM	GENERAL PINTO	GENERAL JOSE DE SAN MARTIN	N
